Sex,Age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
1,37,17.25,29.83,19.35,2145.73,40.72,25.4,36.88,16627.1,40.31,22.99,30.25,14816
0,44,16.31,45.35,33.86,7499.58,31.85,18.75,33.06,10849.3,22.81,19.35,34.87,8655.49
0,45,13.91,26.6,21.16,4112.51,36.88,30.64,35.89,12660.6,42.33,24.8,38.3,16401.7
1,36,19.27,63.69,31.64,6619.58,35.88,31.45,33.26,16020.2,39.91,33.26,41.73,22924.8
1,37,15.52,46.86,23.58,5521.54,33.86,27.62,35.47,13048.5,34.47,21.77,33.86,12105.5
1,37,14.47,39.1,20.36,2342.98,34.07,28.83,32.25,12613.9,36.89,25.6,31.65,13073.9
0,31,20.36,43.35,24.99,7959.87,41.93,29.03,47.36,23514.6,40.31,24.59,44.95,21541.7
1,35,19.88,55.43,27.61,9937.6,39.71,32.05,37.09,17521.5,38.1,30.64,37.09,18711.6
0,31,15.92,48.4,30.43,8060.35,38.5,26,35.27,15087.4,40.11,24.79,36.48,16158.2
1,30,16.34,52.4,25.19,6116.35,41.72,34.47,39.1,24956.3,40.31,33.25,38.5,23565.1
1,34,11.9,53.21,40.51,6457.92,37.7,25.2,33.86,14914.6,32.26,15.93,27.22,6702.91
0,41,13.31,53.61,38.3,9798.78,40.52,33.05,42.93,22394.6,42.13,35.88,42.33,23593.2
0,35,18.75,61.88,46.36,14698.3,44.95,32.85,48.98,14748.78,44.54,31.04,43.34,26457.9
1,33,14.08,38.1,21.65,4071.25,34.87,23.58,35.47,14437.2,35.67,24.59,37.89,16118.09
0,31,14.8,52.67,27.73,7991.66,37.69,27.41,38.5,19005,37.49,25.2,39.71,18395
1,35,13.86,38.9,21.16,4279.62,38.7,28.43,40.31,18215,31.1,26.01,39.31,14921.19
1,37,11.69,41.32,33.46,5843.78,31.04,17.33,23.38,6186.11,31.04,17.54,23.18,5923.65
0,41,19.15,73.97,34.87,18480.2,40.11,37.81,36.68,18588.3,41.73,25.42,40.31,20340.8
1,32,13.67,68.53,28.22,7488.8,39.71,33.47,72.53,21873.7,43.34,26.2,40.51,19055.5
0,47,11.49,51.6,23.79,6621.63,36.08,26.81,37.69,12855.2,34.67,22.99,39.12,12119.1
1,30,14.71,55.63,35.49,6694.53,42.53,33.46,36.48,18383.8,49.72,30.23,35.88,18586.3
1,33,11.49,40.93,19.75,5394.5,35.48,44.18,30.03,9828.38,35.25,25.4,35.71,14333
1,36,13.31,60.67,38.48,7824.7,39.92,29.03,43.13,15938.1,40.12,30.23,40.51,20032.6
0,34,14.92,48.37,21.37,8466.54,37.49,29.22,42.74,14748.78,40.32,22.48,39.1,14921.19
0,35,13.71,72.96,32.86,12581.4,43.53,35.88,49.98,14748.78,44.55,33.88,43.14,24543.6
1,34,13.71,46.76,21.78,5716.54,41.72,26.4,33.66,15563.4,40.92,23.14,29.43,14515.6
1,32,12.1,43.94,21.57,5696.9,38.9,25.6,32.85,13002.4,39.71,29.84,33.66,18258.2
0,37,18.98,61.58,31.49,13476,37.2,25.95,35.63,14748.78,34.12,18.98,26.85,7560.64
1,37,11.92,53.3,33.93,5652.86,34.34,17.97,30.69,10211.7,38.34,20.19,35.54,12238.4
0,34,14.8,52.67,27.73,7991.66,36.88,18.54,31.24,9635.26,38.3,18.75,30.44,9863.42
1,30,14.31,54.03,32.85,10025.8,36.26,25.6,32.86,14488.9,36.89,24.19,34.07,14309.2
0,35,13.91,57.04,21.77,8833.86,37.09,23.18,36.48,16252.6,39.5,22.78,41.93,17004.5
0,35,15.72,68.73,31.44,16066.2,42.93,31.25,42.13,23328.1,43.75,31.67,44.98,28863.2
0,36,12.09,60.67,29.63,8766.78,34.48,29.43,31.44,12483.9,35.88,28.62,31.65,12749.1
1,40,11.12,56.41,25.48,5556.35,36,23.86,36,13450.9,37,23.86,36.4,15723.9
1,30,13.51,45.76,31.25,8983.1,34.47,22.56,27.21,8074.11,35.88,19.55,27.01,8756.29
1,42,11.69,54.62,31.04,6095.3,34.87,32.65,33.67,14110,35.67,30.64,33.86,14431.6
0,40,14.71,52,27.41,7026.79,43.54,31.04,36.28,19462.7,39.91,30.03,34.88,18229.7
0,24,24.86,71.25,23.74,7602.16,42.45,27.38,36.86,15311.8,39.38,22.91,39.66,14921.19
1,20,11.72,70.02,28.58,6946.17,42.02,31.45,34.72,26437.8,42.3,33.44,45.73,24905
1,23,13.42,39.12,26.26,3649.08,36.86,22.06,28.77,7927.2,36.03,19.26,29.61,6918.8
0,34,13.73,35.45,16.01,18205.6,34.58,18.29,27.44,7143.2,31.72,17.43,25.44,7268.91
1,35,11.43,48.59,24.86,4152.9,36.86,23.43,28.58,14748.78,30.58,25.44,26.87,10748.9
0,20,23.73,70.67,32.01,13032.6,36.29,20.29,27.43,9420.19,36.6,25.73,27.44,10915.7
1,23,14.8,52.67,27.73,7991.66,31.56,22.63,26.26,9603.24,34.63,22.35,28.49,8420.56
1,19,12.59,45.45,18.57,4316.43,39.18,28.58,37.72,16884.7,37.72,32.87,39.15,16233.16
0,19,14.01,43.16,28.86,8590.95,38.02,20.3,34.01,12339.5,41.45,23.73,40.6,18921.5
0,33,16.29,90.02,33.15,12333.8,44.58,33.73,40.87,14748.78,42.58,26.59,39.73,14921.19
1,20,16.58,65.73,28.29,8365.24,38.02,25.73,37.44,14090.3,39.44,22.58,36.2,13558.9
1,25,11.45,38.83,16.77,7991.66,38.82,29.88,43.29,30565.2,36.02,25.98,44.13,18623.3
1,29,13.41,70.1,34.63,9387.79,38.82,24.02,34.63,13992.1,38.54,22.06,35.19,13001.4
1,24,17.32,47.49,27.65,7559.2,37.15,28.21,37.71,18065.8,36.88,30.45,38.63,18118.88
1,26,17.87,52.67,30.11,7991.66,39.94,31.29,34.63,17587.4,41.89,29.89,34.93,17660.8
1,44,12.01,66.19,24.3,5265.51,37.98,31.29,34.08,14256.2,38.26,25.14,34.63,13683.6
1,24,18.61,49.72,24.73,4719.72,42.58,29.43,39.44,21152.7,40.87,24.29,33.74,15634.4
1,21,13.87,51.73,21.72,5928.27,35.45,24.29,34.01,14365.6,36.6,24.56,38.58,13666.8
0,25,21.15,80.59,40.01,23697.7,35.45,33.72,45.15,22638.5,37.37,25.1,35.68,14921.19
1,32,15.43,48.01,28.01,6973.96,39.72,26.01,39.72,15351,40.87,23.15,39.73,16174.2
1,19,24.86,42.59,18.29,5150.32,37.15,24.58,32.86,14320,38.86,27.44,40.3,15052.7
0,23,14.86,51.75,30.58,6135.34,40.87,25.73,46.3,18654.8,41.72,24.3,43.44,17834.2
1,27,10.26,14.01,12.56,1976.25,36.01,16.57,26.87,8475.09,36.58,19.72,30.29,10774.9
0,30,10.29,36.01,18.58,2969.97,30.58,21.43,32.86,10613.3,34.3,24.31,30.88,12360.3
1,19,13.72,61.73,30.01,7171.87,38.29,26.58,35.44,13832.9,36.01,27.15,35.75,13497.9
0,22,14.8,52.67,27.73,7991.66,35.73,26.3,36.58,12487.2,37.44,24.58,34.3,12005.2
0,36,18.29,67.73,30.87,14707.5,42.01,26.58,43.15,15591.4,42.87,25.1,40.01,14921.19
0,22,18.29,50.87,29.46,7120.15,35.44,31.46,37.15,15297.6,36.3,30.02,34.6,13728.8
0,22,21.15,63.16,34.04,9698.42,39.45,30.3,45.17,21556,40.02,30.02,42.01,18680.1
0,39,14.72,60.47,28.22,13704,35.48,22.57,31.85,11236.2,32.66,29.36,32.26,9005.12
0,30,16.73,54.43,25.4,6876.49,38.5,23.79,39.1,17352,37.9,27.62,42.33,20905
0,36,10.68,53.01,25,6760.38,38.7,24.79,36.69,14748.78,40.92,27.22,37.89,17182.2
1,41,17.34,45.96,20.36,4167.62,23.59,17.74,27.22,6054.98,24.82,13.91,28.24,14921.19
1,31,13.51,76.04,25.8,14024.9,41.53,29.03,38.7,19270,42.53,28.82,38.51,13019
1,46,14.8,52.67,27.73,7991.66,29.83,18.95,30.03,9086.59,31.04,23.18,31.66,11476.9
1,35,14.8,52.41,26.4,5091.14,37.59,30.03,42.53,16988.5,35.28,30.64,35.89,16659.98
1,30,12.87,49.73,20.11,4774.65,25.42,14.25,25.98,4188.09,32.68,16.5,26.05,7764.58
1,26,12.89,65.38,38.82,7488.63,36.59,24.86,37.98,17216,35.19,24.58,39.43,16219.2
1,21,13.88,50.6,37.14,6500.2,35.47,26.28,28.22,9812.73,33.23,19.29,27.93,7575.82
1,18,12.57,45.83,24.52,4610.98,29.89,17.59,24.02,7748.87,32.12,20.94,29.88,7748.87
1,26,11.16,50.83,22.06,3342.5,32.12,20.95,30.16,10181.8,34.35,18.44,28.77,8392.88
0,23,16.77,53.07,31.58,11996.9,37.98,25.42,39.66,18430.2,41.34,30.17,37.46,22139.5
0,20,14.24,29.88,20.95,3781.6,32.12,28.21,36.87,18599.6,38.54,25.14,42.46,19150.2
1,20,13.88,43.86,20.98,12488.7,30.72,20.95,33.53,12488.7,37.37,25.1,35.68,14921.19
1,21,11.45,60.05,30.16,7692.5,33.8,23.47,36.69,13262.2,34.36,22.36,36.87,11389.7
1,25,10.86,41.15,16.86,2860.76,35.15,23.45,34.58,10881.5,32.58,25.86,34.59,13011.7
1,20,14.8,52.67,27.73,7991.66,35.47,22.34,32.96,13465,36.87,21.23,24.02,8808.53
0,28,24.02,82.12,34.07,14450.2,41.06,33.23,52.22,30734.9,43.85,31.28,50.27,28263.3
1,20,23.19,74.57,43.58,17610.8,27.7,26.82,44.4,24314.3,39.38,29.06,43.57,20104.5
1,21,11.72,25.72,23.15,4217.87,29.73,23.44,34.15,12879.5,34.58,22.58,34.59,12907.9
0,31,13.15,53.74,29.15,6797.78,35.72,24.58,35.72,13237.8,39.73,30.29,37.46,16034.2
1,24,10.29,45.74,28.59,5021.2,33.15,21.15,36.29,10190.7,33.43,21.45,35.44,12112.4
0,23,20.29,48.32,22.58,6339.12,37.72,25.44,37.15,18116.6,41.15,28.58,37.72,17758.7
0,36,19.12,56.74,30.34,13572.9,38.21,32.5,37.43,14748.78,36.05,29.55,30.34,14921.19
0,45,18.92,64.02,37.04,14556.3,29.55,24.42,27.38,9002.5,30.33,21.86,31.13,9595.2
1,34,10.68,39.1,24.59,6607.55,36.48,26.61,31.44,14748.78,37.3,24.39,27.62,14921.19
0,38,14.71,60.47,31.04,10726.1,40.92,27.01,35.07,12444.3,40.71,25.1,40.72,14921.19
1,40,14.8,52.67,27.73,7991.66,31.85,18.95,28.02,7337.53,34.08,23.79,31.45,11689.31
0,40,14.8,52.67,27.73,7991.66,34.67,23.99,36.68,14748.78,37.29,23.38,34.68,12736.5
0,38,12.3,42.54,32.25,5901.63,37.89,28.83,39.13,16484.7,37.22,27.81,40.74,19952.6
1,32,10.35,38.02,16.55,2513.34,42.16,26.59,38.22,18365.6,40.98,25.02,35.27,17784.4
0,34,20.09,73.86,30.53,18459.2,37.2,25.95,35.63,14748.78,37.82,25.61,41.17,19608.6
1,33,12.91,31.86,19.55,3191.42,37.69,28.82,35.86,16610.4,38.3,26.4,33.07,15002.4
1,40,14.43,16.45,18.86,5233.2,35.47,18.14,27.01,8921.41,34.68,18.35,29.03,9521.22
0,39,14.92,54.02,30.44,8142.27,33.67,22.78,35.63,14748.78,38.5,25.8,32.06,14921.19
1,30,15.72,49.58,35.88,10077,35.89,23.58,29.24,12159.2,37.49,31.64,29.03,11731.1
1,47,12.09,51.4,29.43,8026.45,39.71,24.8,28.83,14748.78,38.7,25.4,30.46,14921.19
1,36,14.52,44.95,32.06,6081.73,35.68,19.55,29.43,8059.26,33.86,20.96,33.07,8741.47
0,34,14.51,61.48,27.21,10291.5,37.89,29.83,40.11,14748.78,37.09,24.59,38.51,13766.3
0,31,17.53,52,31.25,7991.66,36.49,32.45,42.73,14748.78,38.92,35.68,44.97,18406.5
0,35,14.11,63.09,32.65,11499.6,40.71,38.31,39.91,24779.6,42.33,35.68,44.95,25885.9
1,41,13.71,46.75,27.6,5954.94,36.46,23.58,31.04,12797.7,37.89,24.59,32.25,13978.7
1,25,11.73,36.31,16.48,2989.98,35.47,25.42,27.37,10040.5,35.75,25.14,27.65,11105.7
0,40,13.3,59.02,29.63,6673.96,35.68,31.16,33.05,10229.8,34.87,15.92,30.23,8229.18
0,43,11.89,46.36,24.59,7028.8,38.7,28.44,38.09,19465.7,33.95,30.84,38.9,18464.5
1,32,13.5,51.2,33.26,6492.19,34.67,24.79,34.89,10823.4,31.64,23.8,37.29,11928
0,36,14.57,61.45,29.72,9267,31.44,35.72,24.46,11044.8,34.29,20.59,35.15,10264.4
0,21,18.57,63.16,32.89,11034.7,39.73,29.72,46.06,20351,41.73,28.01,45.17,11830.7
1,23,12.29,58.53,26.58,5366.29,37.15,24.01,31.44,11183.2,40.29,22.58,40.02,12639.6
1,25,19.78,42.05,17.73,5596.04,35,24.77,35.68,12723.9,35.92,25.91,34.32,13312.2
0,36,15.43,57.74,29.44,10915,39.44,28.58,38.87,16422,39.73,26.58,39.45,14862.4
1,26,11.15,48.87,20,4373,36.6,27.2,36.6,19097,42.59,26.01,38.3,16557.7
0,26,15.2,67.16,32.01,13447,37.72,28.29,35.15,15322,37.37,25.1,35.68,14921.19
0,25,18.86,49.48,34.87,10540,42.58,28.01,41.15,21542.7,41.15,26.03,45.45,27383.8
0,21,14.8,52.67,27.73,7991.66,43.68,32.35,47.01,21335,41.35,26.67,41.69,22849
